fasta,name,organism,source,accession,genome_assembly
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_047301625.1.fa.gz,ASM4730162v1,Choerodon schoenleinii,VGP,GCA_047301625.1,ASM4730162v1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_015220235.1.fa.gz,mChoDid1.pri,Choloepus didactylus,VGP,GCF_015220235.1,mChoDid1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_963924245.1.fa.gz,bChrRid1.1,Chroicocephalus ridibundus,VGP,GCF_963924245.1,bChrRid1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_017639555.1.fa.gz,bCicMag1.pri,Ciconia maguari,VGP,GCA_017639555.1,bCicMag1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_963662255.1.fa.gz,bCinCin1.1,Cinclus cinclus,VGP,GCF_963662255.1,bCinCin1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963989345.1.fa.gz,bClaHye2.1,Clangula hyemalis,VGP,GCA_963989345.1,bClaHye2.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_024256435.1.fa.gz,CGAR_Hap1,Clarias gariepinus,VGP,GCA_024256435.1,CGAR_Hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_947623445.1.fa.gz,kaClaLepa1.1,Clavelina lepadiformis,VGP,GCA_947623445.1,kaClaLepa1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_048544225.1.fa.gz,fCoiMys1.hap2,Coilia mystus,VGP,GCA_048544225.1,fCoiMys1.hap2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_028858725.1.fa.gz,bColStr4.1.hap1,Colius striatus,VGP,GCF_028858725.1,bColStr4.1.hap1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_965178545.1.fa.gz,bColMon1.hap1.1,Coloeus monedula,VGP,GCA_965178545.1,bColMon1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_036013475.1.fa.gz,bColLiv1.pat.W.v2,Columba livia,VGP,GCF_036013475.1,bColLiv1.pat.W.v2
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_963514075.1.fa.gz,fConCon1.1,Conger conger,VGP,GCF_963514075.1,fConCon1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_964263955.1.fa.gz,fCorLav1.hap1.1,Coregonus lavaretus,VGP,GCA_964263955.1,fCorLav1.hap1.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCA_963082875.1.fa.gz,kaCorEumy4.1,Corella eumyota,VGP,GCA_963082875.1,kaCorEumy4.1
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_020740725.1.fa.gz,bCorHaw1.pri.cur,Corvus hawaiiensis,VGP,GCF_020740725.1,bCorHaw1.pri.cur
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_009650955.1.fa.gz,bCorMon1.pri,Corvus moneduloides,VGP,GCF_009650955.1,bCorMon1.pri
/project/shefflab/brickyard/datasets_downloaded/refgenomes_fasta/fasta/vgp/fasta/GCF_900634415.1.fa.gz,fCotGob3.1,Cottoperca gobio,VGP,GCF_900634415.1,fCotGob3.1
